longitude,latitude,median_income
-122.25,37.79,1.7772
-122.25,37.79,2.6458
-122.25,37.79,2.181
-122.25,37.8,2.2303
-122.25,37.8,1.6504
-122.24,37.8,2.2697
-122.24,37.8,2.1563
-122.24,37.8,2.1348
-122.24,37.8,2.6292
-122.23,37.8,2.3833
-122.24,37.8,2.957
-122.24,37.8,2.5238
-122.23,37.8,1.9375
-122.23,37.8,1.9028
-122.23,37.8,2.25
-122.23,37.8,2.3929
-122.23,37.79,2.1917
-122.23,37.79,2.9357
-122.23,37.79,1.8854
-122.24,37.79,2.1638
-122.24,37.79,2.125
-122.24,37.79,3.375
-122.24,37.79,2.2542
-122.25,37.79,2.1
-122.25,37.79,1.6
-122.25,37.79,3.625
-122.26,37.8,1.6929
-122.22,37.77,1.6471
-122.22,37.77,2.59
-122.23,37.77,2.57
-122.23,37.78,2.6429
-122.23,37.78,3.0257
-122.22,37.78,1.4886
-122.23,37.78,1.9338
-122.23,37.78,1.4844
-122.23,37.78,1.6009
-122.23,37.79,2.0375
-122.23,37.79,2.293
-122.22,37.79,2.1494
-122.23,37.79,1.6198
-122.23,37.79,1.3281
-122.22,37.79,3.5156
-122.22,37.79,3.9048
-122.21,37.79,3.0893
-122.22,37.79,2.6042
-122.22,37.79,2.5
-122.22,37.79,2.7969
-122.2,37.79,2.8321
-122.21,37.79,2.9583
-122.21,37.79,2.8365
-122.21,37.79,2.875
-122.21,37.8,3.0682
-122.21,37.8,3.0757
-122.2,37.8,4.9559
-122.2,37.8,4.7721
-122.21,37.8,3.4861
-122.2,37.8,5.1184
-122.21,37.8,4.0977
-122.19,37.8,4.744
-122.19,37.8,4.2727
-122.19,37.79,2.9844
-122.2,37.79,4.1739
-122.2,37.8,3.8487
-122.19,37.8,4.0114
-122.19,37.79,4.6563
-122.19,37.79,2.9297
-122.2,37.79,2.3036
-122.2,37.79,2.6667
-122.2,37.79,2.619
-122.21,37.79,2.4167
-122.2,37.79,2.7788
-122.21,37.78,2.7352
-122.21,37.78,1.8472
-122.21,37.78,2.6583
-122.21,37.78,3.0536
-122.22,37.78,2.3906
-122.21,37.78,1.7188
-122.21,37.78,2.625
-122.22,37.77,2.8015
-122.22,37.78,1.7276
-122.22,37.78,2.0801
-122.22,37.78,2.489
-122.21,37.76,1.7546
-122.21,37.77,4.0904
-122.21,37.77,2.6765
-122.2,37.77,2.4338
-122.21,37.77,2.3309
-122.21,37.77,2.2604
-122.19,37.77,1.8039
-122.2,37.77,2.2562
-122.2,37.77,2.0562
-122.2,37.78,3.5398
-122.2,37.78,3.1167
-122.2,37.78,2.5401
-122.2,37.77,2.898
-122.21,37.78,2.3125
-122.19,37.78,2.875
-122.19,37.77,3.3715
-122.19,37.77,3.5114
-122.19,37.78,4.3125
-122.19,37.78,3.22
-122.18,37.78,3.875
-122.19,37.78,5.2328
-122.19,37.78,3.7262
-122.2,37.78,4.5893
-122.18,37.79,5.2578
-122.18,37.79,7.0875
-122.18,37.79,3.9712
-122.19,37.79,2.9514
-122.19,37.79,2.6667
-122.18,37.81,5.4446
-122.18,37.8,6.2838
-122.18,37.8,6.7527
-122.13,37.77,7.0712
-122.16,37.79,5.9849
-122.17,37.78,3.6875
-122.17,37.77,2.875
-122.18,37.78,3.4205
-122.18,37.78,3.2984
-122.17,37.78,3.875
-122.17,37.78,4.175
-122.16,37.77,4.375
-122.16,37.77,4.7708
-122.16,37.77,3.5739
-122.16,37.77,3.0958
-122.17,37.77,3.3958
-122.17,37.77,1.871
-122.17,37.76,1.9356
-122.17,37.76,2.1842
-122.18,37.76,2.2917
-122.17,37.76,2.4333
-122.18,37.76,1.9479
-122.18,37.76,3.9063
-122.18,37.76,1.8407
-122.18,37.77,2.0786
-122.18,37.77,2.8125
-122.18,37.76,1.8913
-122.19,37.76,1.7056
-122.18,37.77,2.2768
-122.18,37.77,3.2552
-122.18,37.77,2.0556
-122.19,37.76,2.4659
-122.2,37.76,1.75
-122.19,37.77,2.0469
-122.19,37.77,2.7159
-122.19,37.76,1.2083
-122.19,37.76,1.925
-122.2,37.75,1.5809
-122.2,37.76,1.4097
-122.19,37.76,0.7683
-122.19,37.75,1.3194
-122.19,37.75,0.8012
-122.19,37.76,1.9479
-122.19,37.74,1.1765
-122.18,37.74,2.3456
-122.19,37.73,2.1538
-122.19,37.74,2.5139
-122.19,37.73,1.2625
-122.18,37.73,2.9063
-122.18,37.73,2.5192
-122.18,37.73,2.1111
-122.18,37.73,2.455
-122.17,37.74,2.4028
-122.17,37.74,2.15
-122.17,37.74,2.4776
-122.17,37.73,2.1587
-122.18,37.74,1.8438
-122.17,37.74,3.0298
-122.17,37.74,2.25
-122.18,37.74,2.2467
-122.18,37.75,4.0469
-122.18,37.75,1.325
-122.17,37.75,1.6196
-122.18,37.75,2.1731
-122.19,37.75,1.9167
-122.18,37.75,2.069
-122.18,37.75,1.712
-122.17,37.76,2.5625
-122.17,37.75,1.9821
-122.17,37.75,2.5043
-122.17,37.75,2.3281
-122.17,37.75,1.4375
-122.16,37.76,2.5122
-122.16,37.75,1.5625
-122.17,37.75,3.1587
-122.17,37.76,1.8426
-122.16,37.76,4.6696
-122.16,37.76,2.4598
-122.15,37.76,6.0749
-122.14,37.77,4.8304
-122.14,37.76,5.5701
-122.13,37.76,5.37
-122.12,37.75,6.86
-122.12,37.75,7.6923
-122.14,37.75,4.0313
-122.14,37.75,6.8323
-122.13,37.75,4.975
-122.13,37.75,5.3602
-122.13,37.74,5
-122.16,37.75,2.925
-122.15,37.75,3.8913
-122.15,37.75,3.225
-122.15,37.74,3.1458
-122.16,37.75,2.537
-122.16,37.75,2.5568
-122.15,37.74,3.5083
-122.15,37.74,3.3125
-122.16,37.75,1.8235
-122.16,37.75,3.8047
-122.17,37.74,2.2917
-122.17,37.75,2.4962
-122.16,37.74,4.0417
-122.16,37.74,3.4844
-122.16,37.74,4.1458
-122.16,37.74,2.625
-122.16,37.74,2.0227
-122.29,37.9,3.3333
-122.29,37.9,5.338
-122.29,37.89,3.4732
-122.3,37.9,3.5125
-122.29,37.89,3.1375
-122.3,37.89,2.8036
-122.3,37.9,4.5824
-122.3,37.89,3.0208
-122.3,37.89,4.0875
-122.33,37.89,4.5268
-122.34,37.88,1.7375
-122.29,37.89,3.1795
-122.29,37.88,3.8672
-122.29,37.89,5.1675
-122.29,37.89,5.1696
-122.28,37.88,4.2614
-122.29,37.89,5.0551
-122.27,37.9,5.6228
-122.26,37.9,7.8864
-122.27,37.9,7.9556
-122.27,37.9,6.174
-122.27,37.9,6.9414
-122.27,37.89,8.8342
-122.28,37.9,7.1754
-122.28,37.9,10.0825
-122.28,37.9,4.9083
-122.28,37.89,5.7912
-122.28,37.89,4.5893
-122.28,37.89,5.4171
-122.28,37.89,4.125
-122.27,37.89,7.266
-122.27,37.89,5.3989
-122.26,37.9,7.8336
-122.25,37.89,6.1593
-122.26,37.89,6.381
-122.26,37.89,6.6828
-122.25,37.89,7.5385
-122.25,37.89,6.7138
-122.26,37.88,6.2425
-122.26,37.88,5.7979
-122.27,37.88,4.2813
-122.27,37.88,3.5417
-122.27,37.88,3.0132
-122.28,37.88,4.1429
-122.28,37.88,4.1912
-122.28,37.88,3.9167
-122.29,37.88,3.8897
-122.29,37.88,3.1065
-122.29,37.88,2.9926
-122.29,37.88,3.556
-122.3,37.88,1.475
-122.3,37.88,1.6971
-122.3,37.87,2.1705
-122.3,37.86,2.75
-122.29,37.85,2.5682
-122.3,37.88,2.9
-122.3,37.87,2.2208
-122.28,37.88,3.2344
-122.28,37.87,3.5156
-122.28,37.87,1.9805
-122.29,37.87,2.6684
-122.29,37.87,3.875
-122.28,37.88,3.006
-122.28,37.87,2.543
-122.28,37.87,2.8676
-122.27,37.88,2.1907
-122.27,37.87,1.7778
-122.27,37.88,2.52
-122.26,37.88,4.2788
-122.26,37.88,2.944
-122.26,37.88,1.725
-122.25,37.87,5.2289
-122.25,37.87,2.5562
-122.25,37.87,0.949
-122.25,37.87,1.1696
-122.26,37.87,1.4012
-122.26,37.87,1.1859
-122.27,37.87,1.7464
-122.27,37.87,2.8846
-122.27,37.87,2.7372
-122.28,37.86,3.8594
-122.28,37.87,3.5625
-122.28,37.87,2.2788
-122.29,37.87,2.537
-122.29,37.87,2.525
-122.29,37.86,1.9946
-122.28,37.86,2.8214
-122.29,37.87,2.6165
-122.29,37.86,1.9483
-122.28,37.86,1.9327
-122.28,37.86,1.9798
-122.28,37.85,2.4167
-122.27,37.86,2.5417
-122.28,37.86,3.3906
-122.28,37.86,2.5652
-122.28,37.86,2.2845
-122.27,37.86,2.6071
-122.27,37.86,3.15
-122.27,37.86,2.6914
-122.27,37.86,1.8447
-122.26,37.86,1.6307
-122.26,37.86,2.9044
-122.26,37.86,2.9405
-122.26,37.86,3.3893
-122.25,37.86,3.0417
-122.25,37.86,7.0897
-122.25,37.86,5.0463
-122.25,37.86,1.7652
-122.24,37.86,7.8521
-122.24,37.85,9.3959
-122.25,37.86,5.3794
-122.26,37.85,3.2619
-122.27,37.85,2.7054
-122.27,37.85,2.2431
-122.27,37.85,1.9028
-122.27,37.85,1.5817
-122.27,37.85,2.2841
-122.27,37.85,1.3785
-122.28,37.85,2.9018
-122.28,37.85,1.73
-122.28,37.85,2.2625
-122.29,37.84,2.2106
-122.28,37.83,2.6997
-122.3,37.84,4.0018
-122.23,37.83,7.8772
-122.22,37.82,11.8603
-122.22,37.82,13.499
-122.23,37.82,12.2138
-122.23,37.82,8.1872
-122.23,37.82,12.3804
-122.24,37.83,5.8948
-122.24,37.83,8.1194
-122.23,37.82,8.7477
-122.24,37.82,6.155
-122.25,37.82,5.883
-122.23,37.76,5.2128
-122.23,37.76,4.7188
-122.23,37.76,5.2915
-122.24,37.77,2.6411
-122.23,37.77,3.3214
-122.24,37.77,3.6417
-122.25,37.77,3.0161
-122.25,37.77,3.1771
-122.25,37.77,3.4531
-122.25,37.77,4.3098
-122.26,37.78,3.3438
-122.26,37.78,2.9213
-122.27,37.78,2.6806
-122.27,37.78,3.7708
-122.27,37.78,3.9444
-122.27,37.78,5.2601
-122.28,37.79,2.5444
-122.3,37.77,2.6447
-122.28,37.78,2.5762
-122.29,37.78,1.9427
-122.28,37.77,2.9688
-122.28,37.77,3.75
-122.29,37.76,5.1702
-122.28,37.78,2.5139
-122.26,37.77,2.9732
-122.27,37.77,5.5337
-122.27,37.77,4.1667
-122.27,37.77,2.7115
-122.27,37.77,3.3269
-122.25,37.77,3.2685
-122.26,37.77,4.7778
-122.26,37.77,4.226
-122.26,37.77,3.3571
-122.26,37.77,2.9899
-122.26,37.77,2.875
-122.24,37.77,2.3882
-122.25,37.77,2.975
-122.23,37.76,5.1039
-122.23,37.76,4.1458
-122.24,37.76,3.4762
-122.24,37.76,2.6833
-122.23,37.76,5.75
-122.23,37.75,3.9632
-122.24,37.75,4.9489
-122.24,37.75,4.8711
-122.24,37.76,3.0718
-122.24,37.76,3.6719
-122.24,37.76,4.6094
-122.24,37.73,4.5213
-122.25,37.74,4.4562
-122.24,37.72,7.611
-122.27,37.73,3.2689
-122.25,37.76,3.567
-122.27,37.74,3.6875
-122.27,37.77,4.7695
-122.28,37.75,3.1972
-122.06,37.77,7.2634
-122.06,37.73,7.0568
-122.06,37.71,4.635
-122.07,37.71,5.3015
-122.07,37.71,4.9801
-122.07,37.72,5.4834
-122.08,37.72,6.187
-122.08,37.72,5.6194
-122.08,37.71,5.4639
-122.09,37.71,5.1498
-122.1,37.72,5.8382
-122.11,37.71,4.65
-122.1,37.7,4.3819
-122.1,37.69,3.7222
-122.09,37.71,5.2855
-122.09,37.7,4.3375
-122.1,37.71,5.2131
-122.09,37.7,6.005
-122.08,37.71,5.0519
-122.08,37.71,4.8237
-122.08,37.7,5.2497
-122.07,37.7,4.125
-122.06,37.7,4.6005
-122.06,37.7,3.5187
-122.07,37.7,3
-122.08,37.7,3.4934
-122.09,37.7,2.9861
-122.07,37.69,2.5362
-122.08,37.69,3.3021
-122.07,37.69,3.0964
-122.08,37.69,2.8512
-122.08,37.69,3.3478
-122.08,37.68,2.3958
-122.08,37.68,3.5295
-122.09,37.69,4.8036
-122.15,37.74,3.851
-122.14,37.74,4.0662
-122.14,37.73,4.6042
-122.15,37.74,2.2
-122.16,37.73,4.1164
-122.15,37.74,3.95
-122.15,37.73,4.9135
-122.15,37.73,2.8355
-122.17,37.73,3.25
-122.16,37.73,2.8301
-122.17,37.73,3.7159
-122.16,37.73,2.5625
-122.18,37.72,3.8047
-122.18,37.71,3.375
-122.17,37.71,3.244
-122.18,37.7,4.0268
-122.18,37.7,3.3906
-122.19,37.71,5.5461
-122.17,37.72,3.371
-122.17,37.72,3.5313
-122.17,37.72,3.663
-122.16,37.72,2.875
-122.17,37.72,4.0202
-122.16,37.71,4.5553
-122.16,37.71,3.4643
-122.16,37.72,3.3431
-122.15,37.73,2.1898
-122.15,37.72,2.9097
-122.15,37.72,3.375
-122.15,37.72,2.8125
-122.14,37.73,5
-122.14,37.73,3.0673
-122.14,37.73,3.8125
-122.13,37.73,6.9096
-122.13,37.72,7.912
-122.13,37.72,3.8393
-122.12,37.71,4
-122.13,37.72,6.5095
-122.14,37.72,3.5156
-122.14,37.72,2.983
-122.13,37.72,3.524
-122.13,37.71,3.1103
-122.13,37.71,3.5781
-122.15,37.71,3.1682
-122.14,37.71,2.6101
-122.14,37.71,3.6932
-122.13,37.7,3.4583
-122.13,37.7,3.9032
-122.15,37.71,4.0208
-122.15,37.7,3.5547
-122.14,37.7,4.5859
-122.13,37.7,2.6321
-122.13,37.69,3.395
-122.14,37.7,3.9702
-122.16,37.7,5.0043
-122.14,37.69,4.4659
-122.15,37.69,3.6625
-122.15,37.69,3.8864
-122.15,37.7,3.4583
-122.16,37.69,3.7813
-122.16,37.7,2.9917
-122.16,37.7,4.4375
-122.17,37.7,4
-122.16,37.68,2.3869
-122.17,37.69,4.7609
-122.18,37.68,5.4858
-122.16,37.69,4.3971
-122.15,37.69,4.0109
-122.15,37.68,4.3864
-122.15,37.68,4.2841
-122.15,37.69,5.1312
-122.14,37.69,2.9958
-122.14,37.68,3.6364
-122.14,37.68,2.7955
-122.1,37.69,2.9507
-122.12,37.69,3.4375
-122.13,37.69,2.875
-122.12,37.71,3.0345
-122.12,37.7,2.679
-122.12,37.7,2.9922
-122.12,37.69,4.1042
-122.12,37.7,2.5833
-122.11,37.7,2.1552
-122.11,37.7,2.3274
-122.11,37.7,2.4206
-122.1,37.69,3.9063
-122.11,37.69,2.6464
-122.11,37.69,3.4643
-122.12,37.69,2.3973
-122.03,37.69,6.5
-121.97,37.64,6.0574
-122.02,37.63,3.8958
-122.04,37.63,4.7813
-122.05,37.63,3.2829
-122.04,37.66,5.3169
-122.04,37.65,6.2579
-122.05,37.68,5.1701
-122.07,37.68,3.25
-122.06,37.68,3.1796
-122.08,37.68,2.4196
-122.08,37.68,2.6563
-122.08,37.67,0.9637
-122.09,37.67,2.3357
-122.09,37.68,3.5114
-122.09,37.69,3.3125
-122.09,37.68,2.4042
-122.09,37.68,2.8322
-122.09,37.68,2.5156
-122.1,37.68,3.4032
-122.1,37.68,2.535
-122.11,37.68,2.5772
-122.1,37.68,3.0962
-122.1,37.67,2.9564
-122.1,37.68,3.125
-122.12,37.68,2.95
-122.12,37.68,4.38
-122.12,37.68,4.0417
-122.11,37.67,3.8
-122.12,37.68,3.4839
-122.13,37.68,4.0588
-122.13,37.68,4.1974
-122.13,37.68,3.6
-122.14,37.68,4.267
-122.14,37.67,4.2386
-122.15,37.67,5.5797
-122.14,37.67,4.0682
-122.13,37.67,3.1734
-122.14,37.67,4.7933
-122.14,37.67,4.8125
-122.13,37.67,3.8676
-122.12,37.67,3.9395
-122.13,37.67,3.2434
-122.11,37.67,3.0917
-122.11,37.67,3.0645
-122.09,37.67,2.7019
-122.09,37.67,3.1115
-122.09,37.66,3.4722
-122.09,37.66,2.2222
-122.05,37.68,6.1104
-122.06,37.67,4.2733
-122.07,37.67,3.2465
-122.07,37.67,3.2417
-122.07,37.67,3.875
-122.04,37.67,6.0501
-122.04,37.67,6.8233
-122.04,37.66,6.3501
-122.07,37.66,2.6719
-122.07,37.66,3.875
-122.08,37.66,2.5625
-122.07,37.65,3.016
-122.08,37.65,2.7694
-122.08,37.65,3.6818
-122.08,37.66,2.1382
-122.1,37.66,3.7303
-122.1,37.66,3.875
-122.1,37.66,3.0489
-122.09,37.65,2.8203
-122.09,37.65,4.3897
-122.09,37.65,4.7143
-122.1,37.66,4.6875
-122.11,37.66,3.2091
-122.1,37.66,4.275
-122.11,37.66,4.1302
-122.11,37.66,3.09
-122.1,37.65,4.5417
-122.1,37.64,4.6635
-122.1,37.65,4.4427
-122.1,37.65,4.5303
-122.12,37.65,2.375
-122.1,37.63,3.8171
-122.1,37.61,4.5281
-122.13,37.66,4.3456
-122.11,37.65,3.4861
-122.11,37.64,5.2312
-122.11,37.64,3.6708
-122.12,37.64,3.8875
-122.09,37.63,3.9167
-122.09,37.64,3.9063
-122.1,37.63,3.7895
-122.08,37.64,3.8
-122.08,37.64,5.7309
-122.09,37.64,4.1141
-122.09,37.64,5.2838
-122.08,37.64,3.3479
-122.08,37.64,3.142
-122.08,37.63,3.7614
-122.08,37.63,4.25
-122.08,37.64,3.9338
-122.07,37.64,2.5158
-122.07,37.63,2.4808
-122.07,37.64,4.7083
-122.06,37.64,4.1652
-122.06,37.64,3.5541
-122.06,37.65,3.8036
-122.06,37.64,3.8259
-122.04,37.63,3.2331
-122.03,37.62,4.7109
-122.03,37.62,4.2468
-122.04,37.62,6.396
-122.04,37.62,3.8125
-122.04,37.62,3.2857
-122.03,37.62,3.8929
-122.03,37.61,3.7262
-122.03,37.61,4.0125
-122.04,37.61,4.1719
-122.04,37.62,4.2857
-122.08,37.63,3.6458
-122.08,37.62,2.6875
-122.07,37.63,3.7292
-122.07,37.63,4.5913
-122.06,37.63,3.8625
-122.06,37.63,3.3611
-122.05,37.61,2.8971
-122.08,37.63,4.0326
-122.08,37.63,4.0682
-122.09,37.63,5.3644
-122.09,37.63,4.7019
-122.08,37.62,5.64
-122.08,37.61,3.7931
-121.99,37.61,4.6458
-122.02,37.6,3.694
-122.02,37.6,2.652
-122.02,37.6,3.5
-122.02,37.6,3.2386
-122.03,37.61,5.097
-122.04,37.6,4.3875
-122.06,37.6,4.625
-122.08,37.61,5.0406
-122.06,37.6,5.8704
-122.06,37.6,5.3226
-122.08,37.59,4.235
-122.07,37.59,4.825
-122.08,37.58,5.5218
-122.07,37.58,6.5116
-122.07,37.58,6.0661
-122.08,37.58,6.0074
-122.07,37.59,4.6211
-122.07,37.58,5.225
-122.04,37.59,5.3428
-122.05,37.59,3.7462
-122.03,37.6,4.5721
-122.02,37.59,3.6923
-122.03,37.59,4.6786
-122.01,37.59,2.875
-122.02,37.58,3.3617
-122.01,37.58,5.7579
-122.09,37.6,2.9706
-122.08,37.6,3.9022
-121.97,37.57,4.6146
-121.96,37.58,5.7192
-121.98,37.58,3.6832
-121.99,37.58,6.2073
-122,37.58,5.8151
-122.01,37.57,5.8322
-122.04,37.58,5.6277
-122.04,37.57,5.2879
-122.07,37.57,6.5615
-122.06,37.58,5.6758
-122.05,37.57,6.1047
-121.93,37.49,3.5714
-122.07,37.52,6.0824
-122.02,37.56,4.3594
-122.02,37.56,5.5737
-122.03,37.56,4.8962
-122.03,37.56,4.6978
-122.01,37.56,4.4259
-122.01,37.55,3.3008
-122.02,37.55,4.5687
-122.01,37.56,3.8179
-121.99,37.56,5
-121.99,37.56,4.3393
-121.96,37.55,4.1387
-121.97,37.56,4.8052
-121.97,37.54,4.6349
-121.97,37.55,3.168
-121.98,37.54,3.1326
-121.99,37.55,2.9074
-121.94,37.56,8.3996
-121.95,37.55,6.6478
-121.93,37.54,6.629
-121.94,37.54,6.2179
-121.94,37.53,5.761
-121.95,37.54,4.6641
-121.94,37.54,6.7599
-121.96,37.54,3.9909
-121.96,37.53,4.2955
-121.96,37.53,4.9615
-121.96,37.53,2.6198
-121.97,37.54,4.7135
-121.97,37.53,4.75
-121.97,37.53,5.4299
-121.98,37.53,4.6
-121.98,37.53,4.1947
-121.99,37.54,5.388
-121.99,37.54,3.9444
-121.99,37.54,5.3283
-121.99,37.55,4.8403
-122,37.54,5.1616
-122.01,37.55,4.9167
-122,37.55,4.1591
-122.01,37.54,5
-122,37.54,5.8325
-122.01,37.53,5.7057
-121.99,37.53,5.0423
-121.97,37.52,4.5317
-121.97,37.51,5.4359
-121.97,37.52,5.0824
-121.95,37.52,5.2308
-121.96,37.51,4.4107
-121.96,37.52,5.2396
-121.93,37.53,4.7478
-121.92,37.53,8.4045
-121.89,37.49,9.7194
-121.92,37.49,5.1643
-121.92,37.48,5.3813
-121.92,37.47,6.0878
-121.91,37.47,6.868
-122.03,37.55,6.992
-122.03,37.55,4.9118
-122.04,37.55,4.4357
-122.04,37.54,4.9464
-122.05,37.54,5.2882
-122.05,37.55,5.1321
-122.04,37.53,3.9667
-122.04,37.5,3.1696
-122.06,37.54,5.0838
-122.03,37.54,4.8214
-122.03,37.54,4.1406
-122.04,37.53,3.7364
-122.02,37.54,3.535
-122.03,37.54,5.0739
-122.03,37.53,3.256
-122.01,37.53,6.0667
-122.02,37.53,5.7072
-122,37.51,4.9867
-121.92,37.72,5.1437
-121.92,37.72,5.347
-121.91,37.71,5.7233
-121.93,37.72,4.4697
-121.93,37.72,4.9107
-121.93,37.71,4.2281
-121.94,37.71,5.0143
-121.96,37.71,7.2494
-121.92,37.64,5.1406
-121.93,37.66,8.3337
-121.92,37.69,7.316
-121.9,37.66,6.4994
-121.92,37.68,7.2211
-121.93,37.7,4.4087
-121.91,37.69,5.9345
-121.91,37.68,6.177
-121.91,37.68,5.817
-121.91,37.69,6.3132
-121.89,37.68,6.3373
-121.88,37.68,7.333
-121.89,37.68,6.2918
-121.88,37.67,6.5214
-121.88,37.67,6.4524
-121.89,37.67,6.0604
-121.89,37.67,6.5285
-121.9,37.67,7.2639
-121.9,37.67,7.4353
-121.88,37.66,3.1127
-121.87,37.66,2.4896
-121.87,37.66,5.0677
-121.89,37.66,2.1187
-121.88,37.64,10.9506
-121.87,37.57,7.0691
-121.87,37.67,5.5
-121.87,37.67,4.9879
-121.85,37.68,6.8132
-121.85,37.66,5.6399
-121.86,37.66,4.1597
-121.87,37.66,5.7519
-121.84,37.66,5.6417
-121.85,37.72,10.3203
-121.82,37.73,4.3472
-121.86,37.7,6.6827
-121.89,37.69,3.62
-121.77,37.65,7.3588
-121.62,37.61,5.7239
-121.61,37.77,4.2083
-121.72,37.7,6.1023
-121.73,37.71,3.9864
-121.75,37.71,4.8624
-121.77,37.74,9.1531
-121.8,37.7,4.7361
-121.8,37.69,5.4324
-121.82,37.69,4.9375
-121.76,37.69,3.3841
-121.77,37.68,3.5532
-121.78,37.69,3.3618
-121.78,37.69,4.3533
-121.79,37.69,4.5357
-121.76,37.7,5.7068
-121.75,37.69,3.7212
-121.75,37.68,5.2443
-121.76,37.68,4.2361
-121.76,37.68,3.1856
-121.73,37.68,5.4496
-121.78,37.68,3.0222
